Nombre;Escala;Detalle;Serie;Year;Embalaje;Peso;Precio
MSN-06S Sinanju ;1/100;Master Grade;MG Gundam UC;2013;14870,7;1168;71,07
MSN-06S Sinanju Stein Ver.Ka ;1/100;Master Grade;MG Gundam UC;2013;15376,13;1080;66,33
MSN-06S Sinanju Ver.Ka Titanium Finish ;1/100;Master Grade;MG Gundam UC;2010;;1157;113,7
MSN-100 Hyaku Shiki ;1/100;Master Grade;MG Z Gundam;2001;7130;812;42,64
MSZ-006 Z Gundam Ver.2.0 ;1/100;Master Grade;MG Z Gundam;2005;13686,75;1085;47,38
MSZ-006 Zeta Gundam ;1/100;Master Grade;MG Z Gundam;;;732;28,43
MSZ-006A1 Zeta Plus Test Color Type ;1/100;Master Grade;MG Other Gundam;2001;6820;612;28,43
MSZ-006C1 Zeta Plus C1 ;1/100;Master Grade;MG Other Gundam;;9982,5;800;28,43
MSZ-010 ZZ Gundam ;1/100;Master Grade;MG ZZ Gundam;;;806;37,9
MSZ-010 ZZ Gundam Ver.Ka ;1/100;Master Grade;MG ZZ Gundam;2017;13284,97;1189;56,85
Musha Gundam Mk-II ;1/100;Master Grade;MG Other Gundam;2010;11787,44;816;56,85
OZ-00MS Tallgeese I ;1/100;Master Grade;MG Gundam W;2013;8370;638;36,01
OZ-13MS Gundam Epyon ;1/100;Master Grade;MG Gundam W;2011;10306,46;861;45,48
PF-78-1 Perfect Gundam ;1/100;Master Grade;MG Other Gundam;2003;;872;37,9
PLAN303E Deep Striker ;1/100;Master Grade;MG Other Gundam;2018;41300;2800;189,51
PMX-003 THE-O ;1/100;Master Grade;MG Z Gundam;2010;26583,04;1756;113,7
Premium Decal MSN-06S Sinanju Ver.Ka ;1/100;Master Grade;MG Gundam UC;2008;15091,61;1161;66,33
Providence Gundam ;1/100;Master Grade;MG Gundam SEED;2017;13697,62;986;47,38
Providence Gundam G.U.N.D.A.M Edition ;1/100;Master Grade;MG Gundam SEED;;14545,2;1091;66,33
Providence Gundam G.U.N.D.A.M Premium Edition ;1/100;Master Grade;MG Gundam SEED;2017;16144,13;1093;66,33
Qubeley Mk-II ;1/100;Master Grade;MG ZZ Gundam;2009;;895;37,9
RB-79 Ball ;1/100;Master Grade;MG Other Gundam;2007;5084;400;20,85
RB-79 Ball Ver.Ka ;1/100;Master Grade;MG Gundam;2004;4960;397;18,95
RB-79K Ball The 08MS Ver. ;1/100;Master Grade;MG Other Gundam;2005;6200;483;22,74
RGM-79;1/100;Master Grade;MG Other Gundam;2006;8813,61;735;33,16
RGM-79;1/100;Master Grade;MG Other Gundam;2001;6944;612;28,43
RGM-79 GM ;1/100;Master Grade;MG Gundam;;;470;23,69
RGM-79 GM Ver.2.0 ;1/100;Master Grade;MG Gundam;2009;7006;583;33,16
RGM-79C GM Type C ;1/100;Master Grade;MG Gundam ;2002;4960;516;23,69
RGM-79C GM Type C ;1/100;Master Grade;MG Gundam ;2002;4960;530;23,69
